ID,ProjectNumber,Project,Output Code,Month,Year,Value,Stat,Impact Indicator Old,Impact Indicator New,Unit,Valid,Original?,Notes/More detail required?,Project2,Historic/Logframe,Source,Verification
907,43,Solent,,,2022,36000,"We created one of the
UK’s largest native oyster
restoration reefs, which
is now home to 36,000
oysters.",NA,Oysters deployed,#N/A,1,0,,,Historic,58,
908,43,Solent,,,2020,30000,"BLUE assisted the University of Portsmouth with the deployment and monitoring of saltmarsh restoration in the river Hamble and collected 30,000 seagrass seeds with Hampshire and Isle of Wight Wildlife Trust, to be restored to the Solent",NA,Progress,-,1,0,,,Historic,6,
930,11,St Helena,,,2021,?,"We provided training courses and upskilling opportunities
to local (Saint) members of the team (e.g. Freediving course
for efficient and safe whale shark ID).",NA,5.2.2,Number of non-monetary beneficiaries,1,1,,,Historic,57,
910,#N/A,Solent/blackwater,,,2019,69000,NATIVE OYSTERS RESTORED ACROSS 12 RESTORATION SITES,NA,Oysters deployed,#N/A,1,0,,,Historic,7,
931,11,St Helena,,,2021,1,"We have funded a Dive Scholarship to
build local scientific diver capacity.",NA,5.2.2,Number of non-monetary beneficiaries,1,1,,,Historic,57,
912,11,St Helena,,,2019,1,"Commissioned study into alternative ways of improving island's revenues - premium quality tuna from sustainable fishery, using Lyme bay Model",NA,1.1.1,"Reports, investigations, published papers or similar",1,0,Was this published?  What were findings,,Historic,62,
933,11,St Helena,,,2022,500,"In February 2022 more than 500 people attended SHNT’s annual Whale Shark Festival,",NA,5.3.1,Number of stakeholders,1,1,,,Historic,4,
934,11,St Helena,,,2021,,Whale shark festivals attendees,NA,5.3.1,Number of stakeholders,1,1,,,Historic,5,
936,11,St Helena,,,2021,1,Whale shark festivals,NA,5.3.2,Tools/‌activities,1,1,,,Historic,5,
937,11,St Helena,,,2019,1,The team has continued to raise awareness of the importance of a healthy ocean to life on St Helena by hosting the Island’s first ever Whale Shark Festival,NA,5.3.2,Tools/‌activities,1,1,,,Historic,7,
917,11,St Helena,,,2021,1,"Evidence and formal recommendations have been provided for revision of: Total Allowable Catches, quotas, Fisheries licensing policy, Marine developments policy, Marine tourism policy and Marine species interactions policy – all enacted. These will all inform the MMP revision.",NA,3.1.1,"Reports, ‌investigations, published papers or similar (please specify).",1,0,,,Historic,57,
918,11,St Helena,,,2021,1,"Evidence and formal recommendations submitted to SHG to make Fisheries Legislation fit for purpose. Legislation now approved by St Helena Economic Development Committee, soon to be endorsed at Legislative Council in July.",NA,3.1.2,Number of policy instruments/regulations or similar influenced (please specify),1,0,,,Historic,57,
938,11,St Helena,,,2018,1,"The marine team held screenings of the BBC’s Blue Planet II which were attended by over 500 people, s",NA,5.3.2,Tools/‌activities,1,1,,,Historic,8,
939,11,St Helena,,,2020,1,"Marine conservation education app developed, specifically focused on Saint Helena's unique marine life.",NA,5.3.2,Tools/‌activities,1,1,,,Historic,18,
946,30,Lyme Bay,,,2019,1,"To promote the Lyme Bay Reserve amongst local communities and engage school children in learning about the importance of protecting marine areas and sustainable fisheries, a Schools Outreach Programme was established in 2014 with funding from the Rita Lila Howard Foundation.",NA,5.5.3,Number of packages/‌initiatives,1,1,,Education,Historic,78,
922,11,St Helena,,,?,2,"government of St Helena has updated and strengthened its laws, with the input of Blue Marine and the SHNT. This has included the prohibition of unsustainable fishing and ending the dumping of inorganic waste",NA,4.1.2,Number of policy instruments/regulations or similar influenced,1,0,,,Historic,4,
947,11,St Helena,,,2017,,"Since 2017, Blue Marine has worked with the St Helena National Trust (SHNT)",NA,5.6.3,Number of member organisations/‌representatives,1,1,,,Historic,4,
948,11,St Helena,,,2021,1,"We hosted a community coastal clean-up (removing 0.25
tonne of waste).",NA,5.3.2,Tools/‌activities,1,1,,,Historic,57,
950,11,St Helena,,,2022,1,Blue Marine and the SHNT promote the MPA by filming the remarkable marine life,NA,Progress,-,1,1,,,Historic,4,
951,11,St Helena,,,2020,15000000,15 million people reached with Whale Shark footage from Saint Helena.,NA,Digital views,Digital views,1,1,,,Historic,18,
952,11,St Helena,,,2021,1,"Research, new discoveries and conservation work was
published in local newspapers and international magazine
(DIVE magazine (UK)).",NA,Progress,-,1,1,,,Historic,57,
928,11,St Helena,,,2019,,"providing National Trust internships,",NA,5.2.2,Number of non-monetary beneficiaries,0,0,How many?,,Historic,7,
232,62,Italy,,,2022,1,has engaged hundreds of local schoolchildren through the ‘Understanding the Sea’ marine education programme,NA,5.5.3,Number of packages/‌initiatives,1,0,,,Historic,4,
953,11,St Helena,,,2021,1,We have produced a digital version of the SHG Code of Conduct for swimming with whale sharks to support ecotourism.,NA,5.3.2,Tools/‌activities,1,1,,,Historic,57,
954,11,St Helena,,,2016,11,St Helena is home to a third of all the endemic species in British territories including 11 endemic fish,NA,Progress,-,0,1,,,Historic,10,
932,11,St Helena,,,2022,,"Multiple training courses carried out for local staff
including a Marine Intern, and exposure visit to UK",NA,5.2.2,Number of non-monetary beneficiaries,1,0,,,Historic,58,
955,11,St Helena,,,2019,175,"BLUE’s marine team’s 2019 research resulted in over 175 sightings of more than 100 different whale sharks, with a remarkable 94 of these being individuals that have never been recorded before.",NA,Progress,-,0,1,,,Historic,17,
956,11,St Helena,,,2021,1,"Research has identified key whale shark
aggregation areas in MPA.",NA,Progress,-,0,1,,,Historic,57,
935,11,St Helena,,,2022,1,"In February 2022 more than 500 people attended SHNT’s annual Whale Shark Festival,",NA,5.3.2,Tools/‌activities,1,0,,,Historic,4,
957,11,St Helena,,,,,"a marine tourism accreditation scheme was established which also has benefits for local tour operators who can obtain “green” certification for their company, demonstrating to tourists the environmental ethos of their business and allowing them to charge appropriately for a skilled, environmentally sound tour.",NA,Progress,-,1,1,,,Historic,77,
958,14,St Vincent,,,2021,1,"This work was hugely productive and has enabled Blue Marine to complete an interim report which details recommendations to improve the sustainability of the St Vincent fisheries, where to site proposed MPAs and how to achieve 30 per cent of waters protected",NA,3.1.1,"Reports, ‌investigations, published papers or similar (please specify).",1,1,,,Historic,19,
960,11,St Helena,,,2022,510,We engaged a further 600 local students in marine conservation though presentations and immersive outreach,NA,5.5.1,Number of students/general public,1,1,,,Historic,4,
963,40,Sturgeon,,,2023,1,UK Sturgeon Conservation Strategy and Action Plan,NA,2.1.1,"Reports, ‌investigations, published papers or similar (please specify).",1,1,https://cms.zsl.org/sites/default/files/2023-05/UK%20Sturgeon%20Action%20Report.pdf ,,Historic,98,
940,11,St Helena,,,2021,1,"We have had huge success with public outreach and engagement work, including an annual whale shark festival which champions local ocean conservation",NA,5.3.2,Tools/‌activities,1,0,,,Historic,57,
941,11,St Helena,,,2021,1,"We engaged with SHG and tour operators during the final
development of the whale shark automated ID app.",NA,5.3.2,Tools/‌activities,1,0,,,Historic,57,
942,11,St Helena,,,2022,2,"Hugely successful whale shark festival and launch
of new whale shark app, including the production
of voiceovers for brand new digital version of the
St Helena Government (SHG) Code of Conduct for
swimming with whale sharks.",NA,5.3.2,Tools/‌activities,1,0,,,Historic,58,
2121,62,Italy,O.8.1,Dec,2023,63,Adopt a beach: 63 new students involved.,Students,5.5.1,Number of students/general public,1,0,,,Logframe,,
944,30,Lyme Bay,,,,89,"The project’s Marine Education Outreach Programme – a novel education scheme where fishermen deliver presentations to schools using their own experience of the ocean – has visited 89 schools, reaching over 5,300 schoolchildren. ",NA,5.5.2,Number of schools,1,0,,Education,Historic,62,
589,62,Italy,,,2021,1,"Salina? An education programme has linked fishermen and researchers with school children, educating students about sustainable fishing and marine biology",NA,5.5.3,Number of packages/‌initiatives,1,0,,,Historic,18,
964,40,Sturgeon,,,2023,1,Restoring the Sturgeon to Irish Waters,NA,2.1.1,"Reports, ‌investigations, published papers or similar (please specify).",1,1,https://www.bluemarinefoundation.com/wp-content/uploads/2023/05/Sturgeon_Report_2023-Final.pdf ,,Historic,98,
967,40,Sturgeon,,,2022,209670,"has had over 4,000 visits since its launch in March 2022. #SaveTheSturgeon Campaign reached 300,000 people online. Savethesturgeon website has 5,348 views (an extra 1348 from Y2) and 4322 users as of Nov 22",NA,Digital views,Digital views,1,1,,,Historic,1,
969,40,Sturgeon,,,2022,1,animation video released,NA,5.3.2,Tools/‌activities,1,1,,,Historic,1,
949,11,St Helena,,,2021,0.25,"We hosted a community coastal clean-up (removing 0.25
tonne of waste).",NA,Litter removed,Mixed,1,0,,,Historic,57,
970,40,Sturgeon,,Oct,2022,1,1- UK action plan for sturgeon conservation - attended by 20 individuals - Oct 22,NA,5.3.2,Tools/‌activities,1,1,,,Historic,1,
972,40,Sturgeon,,Jun,2021,1,"We have now launched www.savethesturgeon.com and the #SaveTheSturgeon campaign, leading to national momentum and interest in sturgeon",NA,5.3.2,Tools/‌activities,1,1,,,Historic,19,
974,40,Sturgeon,,,2020,1,"In 2020, we were part of the coalition that set up the UK Sturgeon Alliance, which collaborates on the goal of restoration to Great Britain",NA,5.6.2,Number of coalitions/‌ working groups,1,1,,,Historic,4,
981,40,Sturgeon,,,2020,4,"n 2020, the UK Sturgeon Alliance was formed between Blue Marine, the Zoological Society of London (ZSL), the Institute of Fisheries Management (IFM), the Severn Rivers Trust and Nature at Work. T",NA,5.6.3,Number of member organisations/‌representatives,1,1,,,Historic,33,
982,47,Sussex Kelp,,,2021,1,"To measure the value of recovery of the kelp habitat to commercial fisheries, BLUE has undertaken a survey with a local Selsey fisherman of the crab and lobster pot fishery and, working with the University of Plymouth, is carrying out a socio-economic survey of Sussex commercial fishermen",NA,1.1.1,"Reports, investigations, published papers or similar",1,1,,,Historic,5,
983,47,Sussex Kelp,,,2021,1,BLUE is leading an assessment of the potential sources and impacts of sediment on the recovery of kelp and associated fisheries. A deskbased review was commissioned,NA,1.1.1,"Reports, investigations, published papers or similar",1,1,,,Historic,5,
984,47,Sussex Kelp,,,2022,1,Report from 2021 and 2022 Baited Remote Underwater Video surveys in Sussex to monitor benthic species diversity ,NA,1.1.1,"Reports, investigations, published papers or similar",1,1,"Not yet released publicly, to be released via Blue Marine Foundation website. ",,Historic,66,
985,47,Sussex Kelp,,,2023,1,A summary report of the 2021 and 2022 Sussex Potting survey to assess the impact of the Nearshore Trawling Byelaw on local crustacean fisheries,NA,1.1.1,"Reports, investigations, published papers or similar",1,1,https://bluemarinefoundation.sharepoint.com/:b:/s/Projects/EcPXdzmYc7RKkoydHmnTvg0B1CGaC7XDaDPnG2zzckAyWQ?e=PXJScL,,Historic,61,
986,47,Sussex Kelp,,,2021,1,A summary report of the 2021 Sussex experimental potting survey to assess the impact of the Nearshore Trawling Byelaw on local crustacean fisheries,NA,1.1.1,"Reports, investigations, published papers or similar",1,1,https://bluemarinefoundation.sharepoint.com/:b:/s/Projects/EbZKrKmFPmNGr-cP2RLBosABAdRtY9xybZgW3tX5PZiYLw?e=mv1fxa,,Historic,61,
959,14,St Vincent,,,2022,1,"We subsequently produced a report, ‘Sustainable Fisheries Management Advice for the Government of St Vincent and the Grenadines’",NA,3.1.1,"Reports, ‌investigations, published papers or similar (please specify).",1,0,,,Historic,4,
2122,62,Italy,O.8.1,Dec,2023,12,Marine biology courses: 12 new students.,Students,5.5.1,Number of students/general public,1,0,,,Logframe,,
961,14,St Vincent,,,2021,,"In February 2022, Blue Marine team members went out to conduct the analysis which included baseline reef surveys, training sessions and hosting important stakeholder meetings with local NGOs and government officials.",NA,Progress,-,1,0,How many people trained?,,Historic,19,
962,14,St Vincent,,,2021,1,"Blue Marine completed an interim report which details recommendations to improve the sustainability of the St Vincent fisheries, where to site proposed MPAs and how to achieve 30 per cent of waters protected",NA,1.1.1,"Reports, investigations, published papers or similar",1,0,,,Historic,64,
987,47,Sussex Kelp,,,2022,1,A collaborative study between Blue Marine Foundation and University of Sussex as part of the Sussex Kelp Restoration Project,NA,Progress,-,1,1,Blue Marine Sussex BRUV Survey Report 2022_Full.pdf,,Historic,61,
988,47,Sussex Kelp,,,2022,1,"Just two years after the trawling ban, a story of hope is emerging with pockets of kelp and fish, not seen in years, reported across the area.  The Sussex Kelp Recovery Project Progress and Impact Report 2021-2022 summarises the Sussex kelp recovery journey so far and how a collective effort is literally putting kelp back on the map.",NA,2.1.1,"Reports, ‌investigations, published papers or similar (please specify).",,,,,Historic,84,
965,40,Sturgeon,,,2023,1,UK Sturgeon Conservation Strategy and Action Plan,NA,2.1.1,"Reports, ‌investigations, published papers or similar (please specify).",1,0,https://cms.zsl.org/sites/default/files/2023-05/UK%20Sturgeon%20Action%20Report.pdf,,Historic,61,
966,40,Sturgeon,,,2023,1,Restoring the Sturgeon to Irish Waters,NA,2.1.1,"Reports, ‌investigations, published papers or similar (please specify).",1,0,https://www.bluemarinefoundation.com/wp-content/uploads/2023/05/Sturgeon_Report_2023-Final.pdf,,Historic,61,
989,47,Sussex Kelp,,Jan,2023,1,e are now compiling information and evidence to identify the key sources of sediment and actions needed to reduce inputs including a Sussex Sediment Sea Users Survey and commissioning a report on Sussex Sediment Sources and Pathways. ,NA,2.1.1,"Reports, ‌investigations, published papers or similar (please specify).",,,Is this in reports spreadsheet? https://www.bluemarinefoundation.com/wp-content/uploads/2021/02/Sussex-Coast-Sediments-and-Kelp_HR-Wallingford_Blue-Marine-Final-Report-Jan-2023-secured.pdf,,Historic,32,
968,40,Sturgeon,,Mar,2022,1,website launched,NA,5.3.2,Tools/‌activities,1,0,,,Historic,1,
991,47,Sussex Kelp,,,2022,1,Report on sources and trends in sediment levels in Sussex coastal waters and the potential impacts on kelp recovery ,NA,4.1.1,"Reports, ‌investigations, published papers or similar",1,1,"Not yet released publicly, to be released via Blue Marine Foundation website. ",,Historic,66,
992,47,Sussex Kelp,,Mar,2020,300,300km2 seabed protected from mobile fishing gear,NA,4.2.1,km2,,,,,Historic,18,
971,40,Sturgeon,,Mar,2022,1,"In March 2022 we created the Save The Sturgeon website to raise awareness and provide a platform for new and old sightings to be recorded, contributing to the UK database",NA,5.3.2,Tools/‌activities,1,0,,,Historic,4,
994,47,Sussex Kelp,,Sept,2021,40,"In September 2021, we held the Sussex Sediment Workshop with 40 stakeholders from over 25 organisations,",NA,5.3.1,Number of stakeholders,1,1,,,Historic,19,
973,40,Sturgeon,,Mar,2022,1,"In March 2022, the SaveTheSturgeon website was officially launched",NA,5.3.2,Tools/‌activities,1,0,,,Historic,19,
995,47,Sussex Kelp,,,2022,100,"We co-hosted the Kelp Summit alongside our
Sussex Kelp Restoration Project partners. Over 100
attended in person, with a further 250 watching
the event live;",NA,5.3.1,Number of stakeholders,1,1,,,Historic,58,
1005,47,Sussex Kelp,,,2022,1,"We co-hosted the Kelp Summit alongside our
Sussex Kelp Restoration Project partners. Over 100
attended in person, with a further 250 watching
the event live;",NA,5.3.2,Tools/‌activities,1,1,,,Historic,58,
1007,47,Sussex Kelp,,,2021,3,"Blue Marine worked with the Sussex Wildlife Trust, Marine Conservation Society and Big Wave Media on the ‘Help our Kelp’ campaign, which gained overwhelming public support for the byelaw.",NA,5.6.3,Number of member organisations/‌representatives,,,,,Historic,4,
1008,47,Sussex Kelp,,,2020,3,"BLUE joined the Marine Conservation Society, Big Wave Media and Sussex Wildlife Trust to form the Help Our Kelp campaign",NA,5.6.3,Number of member organisations/‌representatives,,,,,Historic,6,
978,40,Sturgeon,,,2020,?,"In 2020, we were part of the coalition that set up the UK Sturgeon Alliance, which collaborates on the goal of restoration to Great Britain",NA,5.6.3,Number of member organisations/‌representatives,1,0,,,Historic,4,
979,40,Sturgeon,,,2020,4,"In 2020, the UK Sturgeon Alliance was formed between BLUE, the Zoological Society of London (ZSL), the Institute of Fisheries Management (IFM), Nature at Work and the Severn Rivers Trust",NA,5.6.3,Number of member organisations/‌representatives,1,0,,,Historic,6,
980,40,Sturgeon,,,2020,4,"The UK Sturgeon Alliance was formed between BLUE, the Zoological Society of London (ZSL), the Institute of Fisheries Management (IFM), Nature at Work and the Severn Rivers Trust",NA,5.6.3,Number of member organisations/‌representatives,1,0,,,Historic,18,
1009,47,Sussex Kelp,,,2020,3,"e, BLUE joined the Marine Conservation Society, Big Wave Media and Sussex Wildlife Trust to form the Help Our Kelp campaign",NA,5.6.3,Number of member organisations/‌representatives,,,,,Historic,18,
1010,47,Sussex Kelp,,,2021,6,"Organisations in the SKRP partnership: Sussex WT, Ssusex IFCA, ZSL, Adur & Worthing Councils, Uni Brighton, UCL",NA,5.6.3,Number of member organisations/‌representatives,,,,,Historic,85,
1011,47,Sussex Kelp,,,2022,12,"Counting only completed student projects: Aim 1: 2 PhD (doctorate) projects underway, 7 MSc (Masters) Degree projects completed or initiated, 3 BSc (Bachelors) Degree projects completed; Aim2: • 2x MSc projects completed, Aim 3: 2 x PhD projects initiated",NA,5.2.2,Number of non-monetary beneficiaries,1,1,,,Historic,85,
1014,47,Sussex Kelp,,Apr,2021,1,Sussex Kelp Restoration Project Science Film: https://www.youtube.com/watch?v=WCu0zXEDhAc,NA,5.3.2,Tools/‌activities,1,1,,,Historic,85,
1015,47,Sussex Kelp,,Apr,2022,1,Video - Bognor Fishing - Back from the Brink: https://vimeo.com/695702315,NA,5.3.2,Tools/‌activities,1,1,Bognor Fishing – Back from the Brink,,Historic,85,
1016,47,Sussex Kelp,,Jan,2023,1,Report: https://www.bluemarinefoundation.com/wp-content/uploads/2021/02/Sussex-Coast-Sediments-and-Kelp_HR-Wallingford_Blue-Marine-Final-Report-Jan-2023-secured.pdf,NA,2.1.1,"Reports, ‌investigations, published papers or similar (please specify).",,,,,Historic,86,
1017,12,Tristan,,,2021,687000,"The Tristan da Cunha community have now committed to fully protecting an incredible 687,000 square kilometres of their territorial waters.",NA,1.2.2,designated km2,,1,,,Historic,18,
1018,12,Tristan,,,?,1,BLUE is delighted to work with the Becht Family Charitable Trust to provide key longterm support for the community of Tristan da Cunha,NA,5.6.3,Number of member organisations/‌representatives,,1,,,Historic,6,
1019,12,Tristan,,,2019,2,"BLUE has joined our partner organisations RSPB and the National Geographic Society, which have been working with the Tristan da Cunha community for a number of years",NA,5.6.3,Number of member organisations/‌representatives,,1,,,Historic,7,
990,47,Sussex Kelp,,,2022,1,1 report on socio economic,NA,3.1.1,"Reports, ‌investigations, published papers or similar (please specify).",1,0,,,Historic,1,
1023,65,Turkey,,,2022,1,"Blue Marine has supported The enforcement of 10,500 hectares of no-fishing zones and 55,000 hectares closed to highly damaging purse seining and trawling, using new patrol boats and retraining fishers as rangers. We are actively increasing the accessibility of careers in ocean conservation. One of the new female rangers in Gökova Bay was previously a fisher, and has seen the benefits of the MPAs first hand",NA,1.3.1,Number of MPAs (new mgmt measures),,,,,Historic,4,
1024,65,Turkey,,,2022,,"Blue Marine has supported The creation of commercial markets for invasive species such as lionfish;incentivising fishers to catch and sell these species, reducing pressure on MPAs. ",NA,3.2.2,Number of initiatives,,,how many films,,Historic,4,
1779,94,Convex,O.4.7,Oct,2023,,"* Times Earth Summit, Bristol. G. Duffield spoke CSS on panel",4.2.1,5.3.1,Number of stakeholders,1,0,,,Logframe,,
1025,65,Turkey,,,,,extensive initiative is underway to incentivise fishers to target these species by creating and facilitating a market for alternative seafood,NA,3.2.2,Number of initiatives,,,,,Historic,5,
1026,65,Turkey,,,,,"BLUE’s patrol boat continues to be the fastest of the small fleet and patrols the MPAs daily, including new officially marked no-fishing zones and restored Monk seal caves.",Progress,Progress,-,0,1,,,Historic,5,
996,47,Sussex Kelp,,,2022,1,Back from the brink video released,NA,5.3.2,Tools/‌activities,1,0,,,Historic,1,
997,47,Sussex Kelp,,,2022,3,presentations,NA,5.3.2,Tools/‌activities,1,0,,,Historic,1,
998,47,Sussex Kelp,,,2022,1,infographic,NA,5.3.2,Tools/‌activities,1,0,,,Historic,1,
999,47,Sussex Kelp,,Mar,2021,1,"Blue Marine worked with the Sussex Wildlife Trust, Marine Conservation Society and Big Wave Media on the ‘Help our Kelp’ campaign, which gained overwhelming public support for the byelaw.",NA,5.3.2,Tools/‌activities,1,0,,,Historic,4,
1000,47,Sussex Kelp,,,2021,1,Sussex Sediment Workshop brought together over 50 stakeholders to share information and identify actions to reduce the inputs of sediment from land and marine sources,NA,5.3.2,Tools/‌activities,1,0,,,Historic,5,
1001,47,Sussex Kelp,,Sept,2021,1,"In September 2021, we held the Sussex Sediment Workshop with 40 stakeholders from over 25 organisations,",NA,5.3.2,Tools/‌activities,1,0,,,Historic,19,
1002,47,Sussex Kelp,,,2021,1,Blue Marine led the first Sussex Sediment Sources and Impacts Workshop in 2021 to gather evidence and catalyse action amongst a wide range of stakeholders.,NA,5.3.2,Tools/‌activities,1,0,,,Historic,32,
1003,47,Sussex Kelp,,May,2023,1,"This fed into the second Sussex Sediment Monitoring and Adaptive Response Workshop in May 2023, bringing together representatives from 27 organisations including government and fisheries agencies, local authorities, researchers, NGOs and local sea users.  ",NA,5.3.2,Tools/‌activities,1,0,,,Historic,32,
1004,47,Sussex Kelp,,Apr,2022,1, Local fishermen and councillors in Bognor have launched a fisheries renaissance to bring fishing back to the town – watch the start of their journey to bring Bognor Fishing Back from the Brink. https://www.youtube.com/watch?v=Xbo0hYr0o_w&t=1s,NA,5.3.2,Tools/‌activities,1,0,https://www.youtube.com/watch?v=YiE0IcKSnPY,,Historic,32,
1027,65,Turkey,,,2022,,Blue Marine has supported The development of a powerful set of films that will help raise awareness and encourage other Mediterranean fisheries to learn from the Turkish example.,NA,5.3.2,Tools/‌activities,1,1,,,Historic,4,
1006,47,Sussex Kelp,,,2022,1,Bognor Fishing – Back from the Brink,NA,5.3.2,Tools/‌activities,1,0,Bognor Fishing – Back from the Brink,,Historic,66,
1028,65,Turkey,,,2022,1,Blue Marine has worked with local NGO the Mediterranean Conservation Society,NA,5.6.3,Number of member organisations/‌representatives,,,,,Historic,4,
1029,65,Turkey,,,?,1,BLUE’s partnership with the Mediterranean Conservation Society to expand and protect the largest highly protected network of MPAs in the Mediterranean,NA,5.6.3,Number of member organisations/‌representatives,,,,,Historic,5,
1030,65,Turkey,,,2020,1,"In Turkey, BLUE is working with the Mediterranean Conservation Society to provide enforcement and management for the largest highly-protected MPA",NA,5.6.3,Number of member organisations/‌representatives,,,,,Historic,6,
1031,65,Turkey,,,2021,1,"In collaboration with the Mediterranean Conservation Society, BLUE is working to provide enforcement and management for the largest highly protected MPA network in the Mediterranean",NA,5.6.3,Number of member organisations/‌representatives,,,,,Historic,18,
1032,65,Turkey,,,2021,1,Blue Marine is working in partnership with the Mediterranean Conservation Society to expand and protect Turkish seas.,NA,5.6.3,Number of member organisations/‌representatives,,,,,Historic,19,
1012,47,Sussex Kelp,,Nov,2021,1,"Kelp Summit: Over 100 people including international experts, local fishermen, community groups and youth ambassadors came together in person at the Ropetackle Arts Centre in Shoreham to celebrate and share the journey of the first six months of the SKRP.",NA,5.3.2,Tools/‌activities,1,0,,,Historic,85,
1033,65,Turkey,,,2022,,Blue Marine has supported The removal of several tons of discarded and lost fishing gear (ghost nets) from MPAs.,NA,Litter removed,Mixed,1,,how much ghost gear?,,Historic,4,
1034,65,Turkey,,,2021,,We are providing enforcement and management to support the designation of significant no-take zones and expansive no trawling areas in Turkey. We have seen huge success within this project with new designations to expand the MPA being approved and signed into law,NA,Progress,-,,,Did we cause (either completely or partially) this designation?,,Historic,19,
1035,65,Turkey,,,,,"Blue Marine’s partners, AKD (the Mediterranean Conservation Society), began work in the Bay",NA,5.6.3,Number of member organisations/‌representatives,,,,,Historic,76,
1036,65,Turkey,,,,27,"Alongside AKD, Blue Marine has supported the implementation of six no-take fishing zones in the Gökova area, covering 27 square kilometres of rich waters, complete with coordinated daily patrols.",NA,1.2.2,designated km2,1,1,,,Historic,76,
1037,65,Turkey,,,,6,"Alongside AKD, Blue Marine has supported the implementation of six no-take fishing zones in the Gökova area, covering 27 square kilometres of rich waters, complete with coordinated daily patrols.",NA,1.3.1,Number of MPAs (new mgmt measures),,,,,Historic,76,
1038,65,Turkey,,,,1,"Research shows that since the implementation of the no-take zones, income for the small-scale fishing community has increased by a huge 400 per cent, and the number of fish per square metre is ten times what it was",NA,2.2.2,Number of species,,,,,Historic,76,
1039,65,Turkey,,,,1,"Monk Seal: In Gökova MPA, Turkey, MPA managers have installed two different types of camera systems to monitor monk seals and sandbar sharks; two species which are only now starting to recover after the implementation of no-take zones and fishing gear regulations. Monk seals have done particularly well under the new measures, with populations quadrupling in the eight years of protection.",NA,2.2.2,Number of species,,,,,Historic,76,
1020,12,Tristan,,Nov,2020,2,Tristan da Cunha: BLUE was part of a coalition led by the RSPB and National Geographic to establish an endowment fund enabling the creation of the fourth largest fully protected MPA on the planet,NA,5.6.3,Number of member organisations/‌representatives,,0,How much was raised for Tristan?,,Historic,18,
1021,12,Tristan,,,?,1,Blue Marine is delighted to work with the Becht Family Charitable Trust to provide key long-term support for the community of Tristan da Cunha. ,NA,5.6.3,Number of member organisations/‌representatives,,0,Size of fund?,,Historic,38,
1022,12,Tristan,,Nov,2020,"687,000","The tiny community of Tristan da Cunha has made a very big announcement: the UK Overseas Territory, located between South Africa and South America in the South Atlantic, has today committed to fully protecting 687,000 sq. km of their territorial waters from fishing and all extractive activities. ",NA,1.2.1,proposed km2,1,0,,,Historic,blue news page,
1040,65,Turkey,,,,,". In addition, several underwater caves where the seals house their pups (appropriately named pupping caves), which had collapsed have now been restored, complete with nightvision cameras installed to monitor success. In all restored caves, monk seals have returned and are breeding",NA,,#N/A,,,,,Historic,76,
1041,65,Turkey,,,2019,?,"AKD’s research, in collaboration with local fishing cooperatives, shows that the incomes of smallscale fishers in the Gökova Bay area improved by 50 per cent in 2019.",NA,5.2.1,Number of monetary beneficiaries,0,,,,Historic,76,
1042,65,Turkey,,,,?,A similar strategy is being taken to quantify biodiversity. With ten years of biodiversity recorded in Gökova Bay demonstrating a significant increase in biodiversity the MPA is poised for the potential application of a novel biodiversity credit,NA,2.2.2,Number of species,0,,,,Historic,76,
1043,65,Turkey,,,,?,"In Turkey, a training programme was developed to train ex fishermen and environmental management graduates to become rangers within the MPAs.",NA,5.2.2,Number of non-monetary beneficiaries,0,1,,,Historic,76,
1044,65,Turkey,,,,?,"In a studied no-take zone, over 5-years, apex predator (grouper and snapper) populations tripled, which clearly reduced the presence of invasive herbivorous fish, which led to the re-establishment of macro-algae. With the macro-algae, we see the recovery of general biodiversity, feeding grounds, spawning areas and an overall higher resilience to climate change and invasive species (the two main threats apart from fishing).",NA,2.2.2,Number of species,,1,,,Historic,76,
1045,65,Turkey,,,,?,"In a studied no-take zone, over 5-years, apex predator (grouper and snapper) populations tripled, which clearly reduced the presence of invasive herbivorous fish, which led to the re-establishment of macro-algae. With the macro-algae, we see the recovery of general biodiversity, feeding grounds, spawning areas and an overall higher resilience to climate change and invasive species (the two main threats apart from fishing).",NA,2.2.2,Number of species,,,,,Historic,76,
1046,65,Turkey,,,,?,The main findings in Gökova Bay are: • Increased artisanal fishers’ catches and income (+600% in some cases) • Recovery of macro-algae • Increase in fish biomass • Increase in apex predators • Recovery of endangered species (monk seals and sandbar sharks) • Reduction of invasive species,NA,Improvements,#N/A,,,,,Historic,76,
1047,#N/A,UKOTs,,,2021,1,"Strong Overseas, Weak at Home Parliamentary Briefing",NA,1.1.1,"Reports, investigations, published papers or similar",1,1,https://www.bluemarinefoundation.com/wp-content/uploads/2021/10/Blue-Marine-Foundation-Parliamentary-Briefing-Nov-2021.pdf,,Historic,61,
1049,33,Isle of Arran,,,2020,1,Marine Conservation Begins at Home: How a local Community and Protection of a Small Bay sent Waves of Change around the UK and Beyond,NA,1.1.1,"Reports, investigations, published papers or similar",1,1,https://www.researchgate.net/publication/339236760_Marine_Conservation_Begins_at_Home_How_a_Local_Community_and_Protection_of_a_Small_Bay_Sent_Waves_of_Change_Around_the_UK_and_Beyond,,Historic,61,
